date,group,cockroach_id,video,experiment_type,left_stimulus,right_stimulus,mean_speed_cm_s,max_speed_cm_s,std_speed_cm_s,median_speed_cm_s,total_distance_cm,net_displacement_cm,straightness_index,mean_velocity_x,mean_velocity_y,movement_frames,stationary_frames,active_frames,mean_speed_left_shelter,max_speed_left_shelter,mean_speed_right_shelter,max_speed_right_shelter,mean_speed_open_area,max_speed_open_area,error
20250820,Group1,c00,Basler_c00_acA2040-90um (24827095)_20250820_120514304DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,3.6788591555828445,100.44888931573959,7.914843759830707,0.3092735957766072,2207.3154933497067,30.861170428124357,0.013981313736574673,-0.04132882142857147,0.030618898809523825,1200,524,676,2.5473428956731055,4.836523748081428,0.0,0.0,3.68015583201681,100.44888931573959,
20250820,Group1,c01,Basler_c01_acA2040-90um (24827095)_20250820_154029285DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,5.918580136027317,72.54463608890896,7.565462457584974,3.6757299631762885,3551.14808161639,30.60589996211907,0.008618592989844588,0.0093856928571428,0.05013892559523814,1200,354,846,2.1761790810769983,6.439562808584808,0.0,0.0,5.903019895570148,72.54463608890896,
20250820,Group1,c02,Basler_c02_acA2040-90um (24827095)_20250820_151308988DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Iso,Nothing,9.462234112131998,59.92096479672175,8.653341086633917,7.900152574070752,5677.3404672792,12.179005237871229,0.0021451955027294452,0.019892696428571378,-0.004037736904761904,1200,157,1043,0.0,0.0,4.2040663932155065,11.9166283816449,9.431247847212171,59.92096479672175,
20250820,Group1,c03,Basler_c03_acA2040-90um (24827095)_20250820_123101811DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,1.4503445074854329,26.65045605810815,2.350800906480991,0.0732660084396807,870.2067044912599,29.99209794559211,0.03446548709725936,-0.04240594821428574,-0.026465424999999997,1200,623,577,0.0,0.0,0.0,0.0,1.4503445074854329,26.65045605810815,
20250820,Group1,c04,Basler_c04_acA2040-90um (24827095)_20250820_143759091DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,4.366902216690471,100.49466734952901,8.950950587295372,2.717015236180673,2620.141330014282,29.42764624589214,0.011231320199712942,-0.04857852023809523,-0.006756111904761894,1200,385,815,0.0,0.0,6.314751236528226,6.314751236528226,4.349154578348166,100.49466734952901,
20250821,Group2,c00,Basler_c00_acA2040-90um (24827095)_20250821_121309125DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,6.319732287222681,91.58678018987374,9.95011639759375,1.370270248828623,3791.839372333609,21.896531040229327,0.005774646257431934,0.03254917857142863,-0.016503907142857138,1200,435,765,0.009326360818803534,0.009326360818803534,0.7585496240895446,1.4626422135329757,6.3156399261212135,91.58678018987374,
20250821,Group2,c01,Basler_c01_acA2040-90um (24827095)_20250821_124540628DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,9.741413698831467,90.75765370947757,11.25849692538988,6.968036776100754,5844.84821929888,28.5223618939683,0.004879914896642038,0.03314040476190477,-0.034080868452380945,1200,135,1065,0.0,0.0,0.0,0.0,9.70559623509134,90.75765370947757,
20250821,Group2,c02,Basler_c02_acA2040-90um (24827095)_20250821_144027805DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,5.56028598728567,77.32386083278058,6.450971767544648,3.681355746346778,3336.1715923714023,32.60693396578057,0.009773758052595567,-0.054144230952380946,-0.004665760119047639,1200,339,861,0.0,0.0,6.71315098699955,6.71315098699955,5.543624598200421,77.32386083278058,
20250821,Group2,c03,Basler_c03_acA2040-90um (24827095)_20250821_132311364DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,13.296715190117359,100.8329501014223,17.0066875700716,8.833672786284708,7978.029114070416,39.510334160109245,0.004952392827249404,0.0656118630952382,-0.005601720238095164,1200,172,1028,0.0,0.0,0.0,0.0,13.274715736131766,100.8329501014223,
20250821,Group2,c04,Basler_c04_acA2040-90um (24827095)_20250821_145931948DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,7.4996268958068395,89.1505166763307,9.317944767656217,2.7118969007857907,4499.776137484104,35.79699280179193,0.007955283042548555,0.014666458333333333,0.057830857142857135,1200,398,802,0.0,0.0,0.0,0.0,7.477425914939749,89.1505166763307,
