date,group,cockroach_id,video,experiment_type,left_stimulus,right_stimulus,mean_speed_cm_s,max_speed_cm_s,median_speed_cm_s,std_speed_cm_s,total_distance_cm,net_displacement_cm,straightness_index,movement_frames,stationary_frames,active_frames,activity_ratio,total_frames,valid_frames,tracking_efficiency,avg_segment_length,max_segment_length,tracking_quality,tracking_point,error
20250820,Group1,c00,Basler_c00_acA2040-90um (24827095)_20250820_120514304DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,3.57754932302819,42.132455832330926,0.25190533265542625,6.522437742338995,1992.694972926702,30.861170428124357,0.015487152247289549,1114,500,614,0.5511669658886894,1201,1115,0.9283930058284763,33.78787878787879,261,High,body_end,
20250820,Group1,c01,Basler_c01_acA2040-90um (24827095)_20250820_154029285DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,6.610207813383136,70.23576769366495,4.0195791627193165,8.60476190097802,3298.4936988781847,30.60589996211907,0.009278750471018973,998,301,697,0.6983967935871743,1201,999,0.8318068276436303,13.5,74,High,body_end,
20250820,Group1,c02,Basler_c02_acA2040-90um (24827095)_20250820_151308988DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Iso,Nothing,9.480765344370523,51.339503063074645,8.370720225300515,7.744420749213476,5285.5266794865665,12.179005237871229,0.002304217909851567,1115,143,972,0.8717488789237668,1201,1116,0.929225645295587,27.21951219512195,174,High,body_end,
20250820,Group1,c03,Basler_c03_acA2040-90um (24827095)_20250820_123101811DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,1.5232590633408625,24.06762089675698,0.09081345208498183,2.215771981419028,783.7167880888738,29.99209794559211,0.0382690512713516,1029,523,506,0.49173955296404276,1201,1030,0.8576186511240633,18.727272727272727,278,High,body_end,
20250820,Group1,c04,Basler_c04_acA2040-90um (24827095)_20250820_143759091DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,3.9718575531903793,28.447907176811793,3.338726206141347,4.221441673253869,2101.1126456377106,29.42764624589214,0.014005744197955902,1058,311,747,0.7060491493383743,1201,1059,0.8817651956702748,24.627906976744185,197,High,body_end,
20250821,Group2,c00,Basler_c00_acA2040-90um (24827095)_20250821_121309125DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,7.02313583428586,92.6394472445693,1.9237641065507618,10.632434246616938,3458.8943983857866,26.136985991199527,0.007556456769364586,985,340,645,0.6548223350253807,1201,986,0.8209825145711906,16.16393442622951,164,High,body_end,
20250821,Group2,c01,Basler_c01_acA2040-90um (24827095)_20250821_124540628DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,8.899997643058525,45.04078214959692,7.229364979916472,7.806113222486721,4850.498715466894,28.5223618939683,0.005880294701041442,1090,102,988,0.9064220183486239,1201,1091,0.9084096586178185,18.491525423728813,81,High,body_end,
20250821,Group2,c02,Basler_c02_acA2040-90um (24827095)_20250821_144027805DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,5.787851275599089,47.60629214428913,3.3746760556400326,6.947638613159105,3209.3635323196945,32.60693396578057,0.010159937831104044,1109,336,773,0.69702434625789,1201,1110,0.9242298084929226,16.567164179104477,161,High,body_end,
20250821,Group2,c03,Basler_c03_acA2040-90um (24827095)_20250821_132311364DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,13.055344104907752,76.40482265210512,10.440966246618089,12.416028274735313,6475.450676034244,39.510334160109245,0.006101557426163045,992,146,846,0.8528225806451613,1201,993,0.8268109908409659,7.638461538461539,105,High,body_end,
20250821,Group2,c04,Basler_c04_acA2040-90um (24827095)_20250821_145931948DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,10.169240455203274,77.9170724218141,3.2821068403862483,13.31151844225922,4337.181054144196,35.79699280179193,0.008253515902359607,853,288,565,0.6623681125439624,1201,854,0.7110741049125728,5.77027027027027,63,Medium,body_end,
