date,group,cockroach_id,video,experiment_type,left_stimulus,right_stimulus,time_left_shelter,time_right_shelter,time_open_area,percent_left,percent_right,percent_open,preferred_zone,preferred_stimulus,PI_stimulus,PI_total,PI_shelter,total_valid_time,valid_frames,total_frames,tracking_point,error
20250820,Group1,c00,Basler_c00_acA2040-90um (24827095)_20250820_120514304DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,1.0,0.0,422.0,0.2364066193853428,0.0,99.76359338061465,left_shelter,Nothing,1.0,0.002364066193853428,1.0,423.0,846,1201,body_end,
20250820,Group1,c01,Basler_c01_acA2040-90um (24827095)_20250820_154029285DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,2.0,0.0,535.5,0.37209302325581395,0.0,99.62790697674419,left_shelter,Nothing,1.0,0.0037209302325581397,1.0,537.5,1075,1201,body_end,
20250820,Group1,c02,Basler_c02_acA2040-90um (24827095)_20250820_151308988DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Iso,Nothing,0.0,1.5,292.5,0.0,0.5102040816326531,99.48979591836735,right_shelter,Nothing,1.0,0.00510204081632653,1.0,294.0,588,1201,body_end,
20250820,Group1,c03,Basler_c03_acA2040-90um (24827095)_20250820_123101811DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,0.0,0.5,40.5,0.0,1.2195121951219512,98.78048780487805,right_shelter,Nothing,1.0,0.012195121951219513,1.0,41.0,82,1201,body_end,
20250820,Group1,c04,Basler_c04_acA2040-90um (24827095)_20250820_143759091DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,0.0,0.0,426.5,0.0,0.0,100.0,open_area,open_area,0.0,0.0,0.0,426.5,853,1201,body_end,
20250821,Group2,c00,Basler_c00_acA2040-90um (24827095)_20250821_121309125DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,1.0,0.0,422.0,0.2364066193853428,0.0,99.76359338061465,left_shelter,Nothing,1.0,0.002364066193853428,1.0,423.0,846,1201,body_end,
20250821,Group2,c01,Basler_c01_acA2040-90um (24827095)_20250821_124540628DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,2.0,0.0,535.5,0.37209302325581395,0.0,99.62790697674419,left_shelter,Iso,1.0,0.0037209302325581397,1.0,537.5,1075,1201,body_end,
20250821,Group2,c02,Basler_c02_acA2040-90um (24827095)_20250821_144027805DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,0.0,1.5,292.5,0.0,0.5102040816326531,99.48979591836735,right_shelter,Nothing,1.0,0.00510204081632653,1.0,294.0,588,1201,body_end,
20250821,Group2,c03,Basler_c03_acA2040-90um (24827095)_20250821_132311364DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,0.0,0.5,40.5,0.0,1.2195121951219512,98.78048780487805,right_shelter,Iso,1.0,0.012195121951219513,1.0,41.0,82,1201,body_end,
20250821,Group2,c04,Basler_c04_acA2040-90um (24827095)_20250821_145931948DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,0.0,0.0,426.5,0.0,0.0,100.0,open_area,open_area,0.0,0.0,0.0,426.5,853,1201,body_end,
