video,date,batch,experiment_type,left_stimulus,right_stimulus,animal_id,error,time_right_s,percent_right_s,frames_right_s,time_top_ns,percent_top_ns,frames_top_ns,time_bottom_ns,percent_bottom_ns,frames_bottom_ns,time_left_s,percent_left_s,frames_left_s,preferred_quadrant,preferred_stimulus_or_quadrant,PI_stimulus,PI_shelter_total,PI_left_right,PI_top_bottom,total_frames,valid_frames,valid_time,tracking_efficiency,avg_likelihood,tracking_point
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c01,,111.5,36.31921824104234,223,69.0,22.475570032573287,138,43.5,14.169381107491857,87,144.5,47.068403908794785,289,left_s,Nothing,0.12890625,0.46742671009771986,0.12890625,0.22666666666666666,1197,614,307.0,51.294903926482874,0.9666235112988599,body_end
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c03,,54.5,40.97744360902256,109,22.5,16.917293233082706,45,12.0,9.022556390977442,24,65.0,48.87218045112782,130,left_s,Nothing,0.08786610878661087,0.6390977443609023,0.08786610878661087,0.30434782608695654,1197,266,133.0,22.22222222222222,0.9561427984022557,body_end
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c02,,73.5,41.76136363636363,147,35.5,20.170454545454543,71,24.5,13.920454545454545,49,82.0,46.590909090909086,164,left_s,Nothing,0.05466237942122187,0.5426136363636364,0.05466237942122187,0.18333333333333332,1197,352,176.0,29.406850459482037,0.9675417813387784,body_end
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c00,,159.0,49.532710280373834,318,70.0,21.806853582554517,140,69.5,21.651090342679126,139,84.5,26.323987538940806,169,right_s,Feces,-0.3059548254620123,0.32398753894080995,-0.3059548254620123,0.0035842293906810036,1197,642,321.0,53.63408521303258,0.9686838310455608,body_end
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c04,,37.0,35.92233009708738,74,79.0,76.69902912621359,158,9.5,9.223300970873787,19,21.5,20.87378640776699,43,top_ns,top_ns,-0.26495726495726496,-0.2912621359223301,-0.26495726495726496,0.7853107344632768,1197,206,103.0,17.20969089390142,0.9806062272451457,body_end
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c01,,186.5,75.65922920892496,373,36.0,14.60446247464503,72,64.5,26.16632860040568,129,27.0,10.953346855983773,54,right_s,Feces,-0.747072599531616,0.45841784989858014,-0.747072599531616,-0.2835820895522388,1201,493,246.5,41.04912572855953,0.9635710493788032,body_end
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c03,,103.0,59.883720930232556,206,25.0,14.534883720930234,50,47.0,27.325581395348834,94,38.5,22.38372093023256,77,right_s,Feces,-0.4558303886925795,0.40406976744186046,-0.4558303886925795,-0.3055555555555556,1201,344,172.0,28.642797668609493,0.9706122819767442,body_end
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c02,,146.5,87.98798798798799,293,14.0,8.408408408408409,28,38.0,22.822822822822822,76,19.5,11.711711711711711,39,right_s,Feces,-0.7650602409638554,0.6846846846846847,-0.7650602409638554,-0.46153846153846156,1201,333,166.5,27.726894254787677,0.9521762973911412,body_end
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c00,,247.5,66.53225806451613,495,64.0,17.20430107526882,128,122.5,32.93010752688172,245,74.5,20.026881720430108,149,right_s,Feces,-0.5372670807453416,0.364247311827957,-0.5372670807453416,-0.3136729222520107,1201,744,372.0,61.94837635303914,0.9632568359375,body_end
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c04,,219.0,71.92118226600985,438,16.0,5.254515599343185,32,45.5,14.942528735632186,91,60.5,19.868637110016422,121,right_s,Feces,-0.5670840787119857,0.715927750410509,-0.5670840787119857,-0.4796747967479675,1201,609,304.5,50.707743547044124,0.9658299338054187,body_end
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c01,,174.0,64.68401486988847,348,52.5,19.516728624535315,105,37.5,13.940520446096654,75,54.0,20.074349442379184,108,right_s,Nothing,-0.5263157894736842,0.5130111524163569,-0.5263157894736842,0.16666666666666666,1199,538,269.0,44.87072560467056,0.9713139303554833,body_end
