video,date,batch,experiment_type,left_stimulus,right_stimulus,animal_id,error,time_right_s,percent_right_s,frames_right_s,time_top_ns,percent_top_ns,frames_top_ns,time_bottom_ns,percent_bottom_ns,frames_bottom_ns,time_left_s,percent_left_s,frames_left_s,preferred_quadrant,preferred_stimulus_or_quadrant,PI_stimulus,PI_shelter_total,PI_left_right,PI_top_bottom,total_frames,tracked_frames,tracking_point
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c00,,138.5,23.064113238967526,277,130.0,21.64862614487927,260,66.5,11.074104912572857,133,183.0,30.47460449625312,366,left_s,Nothing,0.13841368584758942,0.20815986677768525,0.13841368584758942,0.3231552162849873,1201,812,body_end
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c03,,158.5,26.39467110741049,317,55.0,9.159034138218152,110,55.0,9.159034138218152,110,87.5,14.571190674437966,175,right_s,Feces,-0.2886178861788618,0.22647793505412156,-0.2886178861788618,0.0,1201,604,body_end
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c04,,114.5,19.06744379683597,229,55.5,9.242298084929226,111,53.0,8.825978351373855,106,124.5,20.73272273105745,249,left_s,Nothing,0.04184100418410042,0.21731890091590342,0.04184100418410042,0.02304147465437788,1201,601,body_end
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c02,,133.0,22.148209825145713,266,57.5,9.575353871773522,115,48.0,7.993338884263114,96,48.5,8.076602830974188,97,right_s,Feces,-0.465564738292011,0.12656119900083265,-0.465564738292011,0.09004739336492891,1201,492,body_end
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c01,,177.5,29.558701082431305,355,74.0,12.323064113238967,148,84.5,14.071606994171523,169,136.5,22.73105745212323,273,right_s,Feces,-0.1305732484076433,0.2589508742714405,-0.1305732484076433,-0.06624605678233439,1201,797,body_end
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c00,,252.0,41.96502914238135,504,64.0,10.657785179017486,128,126.0,20.982514571190674,252,75.5,12.572855953372189,151,right_s,Feces,-0.5389312977099237,0.2289758534554538,-0.5389312977099237,-0.3263157894736842,1201,760,body_end
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c03,,105.0,17.485428809325562,210,25.5,4.24646128226478,51,47.5,7.91007493755204,95,38.5,6.411323896752706,77,right_s,Feces,-0.4634146341463415,0.11740216486261448,-0.4634146341463415,-0.3013698630136986,1201,349,body_end
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c04,,229.0,38.13488759367194,458,17.5,2.9142381348875936,35,46.5,7.743547044129892,93,61.0,10.15820149875104,122,right_s,Feces,-0.5793103448275863,0.37635303913405493,-0.5793103448275863,-0.453125,1201,630,body_end
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c02,,155.5,25.89508742714405,311,14.0,2.3313905079100747,28,41.5,6.9109075770191515,83,21.0,3.4970857618651126,42,right_s,Feces,-0.7620396600566572,0.20149875104079934,-0.7620396600566572,-0.4954954954954955,1201,354,body_end
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c01,,197.0,32.805995004163194,394,36.0,5.995004163197335,72,65.0,10.824313072439635,130,28.0,4.6627810158201495,56,right_s,Feces,-0.7511111111111111,0.20649458784346378,-0.7511111111111111,-0.2871287128712871,1201,516,body_end
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c00,,142.0,23.646960865945047,284,72.0,11.99000832639467,144,43.5,7.243963363863447,87,57.0,9.492089925062448,114,right_s,Nothing,-0.4271356783919598,0.13905079100749376,-0.4271356783919598,0.24675324675324675,1199,483,body_end
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c03,,46.5,7.743547044129892,93,31.5,5.245628642797668,63,69.5,11.5736885928393,139,56.0,9.325562031640299,112,bottom_ns,bottom_ns,0.09268292682926829,0.002497918401332223,0.09268292682926829,-0.37623762376237624,1199,319,body_end
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c04,,63.0,10.491257285595337,126,58.0,9.658617818484597,116,29.5,4.912572855953372,59,72.0,11.99000832639467,144,left_s,Iso,0.06666666666666667,0.0791007493755204,0.06666666666666667,0.32571428571428573,1199,342,body_end
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c02,,98.5,16.402997502081597,197,41.5,6.9109075770191515,83,56.0,9.325562031640299,112,72.5,12.073272273105745,145,right_s,Nothing,-0.15204678362573099,0.12239800166527894,-0.15204678362573099,-0.14871794871794872,1199,434,body_end
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c01,,183.0,30.47460449625312,366,56.0,9.325562031640299,112,40.0,6.661115736885928,80,55.0,9.159034138218152,110,right_s,Nothing,-0.5378151260504201,0.23646960865945046,-0.5378151260504201,0.16666666666666666,1199,569,body_end
