video,date,batch,experiment_type,left_shelter_odor,right_shelter_odor,animal_id,time_left_shelter,time_right_shelter,time_open_area,percent_left,percent_right,percent_open,preferred_zone,preferred_odor,total_video_time,total_frames,valid_frames,frames_left_shelter,frames_right_shelter,error
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c00,0.0,1.0,599.5,0.0,0.16652789342214822,99.83347210657784,right_shelter,Nothing,600.5,1199,483,0,2,
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c02,0.0,3.0,597.5,0.0,0.4995836802664446,99.50041631973356,right_shelter,Nothing,600.5,1199,434,0,6,
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c04,0.0,0.0,600.5,0.0,0.0,100.0,open_area,open_area,600.5,1199,342,0,0,
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c01,1.5,0.5,598.5,0.2497918401332223,0.08326394671107411,99.6669442131557,left_shelter,Iso,600.5,1199,569,3,1,
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c03,3.5,0.0,597.0,0.5828476269775187,0.0,99.41715237302247,left_shelter,Iso,600.5,1199,319,7,0,
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c00,1.5,1.0,598.0,0.2497918401332223,0.16652789342214822,99.58368026644463,left_shelter,Feces,600.5,1201,786,3,2,
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c02,0.0,0.0,600.5,0.0,0.0,100.0,open_area,open_area,600.5,1201,126,0,0,
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c04,0.0,0.0,600.5,0.0,0.0,100.0,open_area,open_area,600.5,1201,568,0,0,
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c01,1.5,0.0,599.0,0.2497918401332223,0.0,99.75020815986679,left_shelter,Feces,600.5,1201,711,3,0,
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c03,0.5,0.0,600.0,0.08326394671107411,0.0,99.91673605328893,left_shelter,Feces,600.5,1201,180,1,0,
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c00,1.5,2.5,596.5,0.2497918401332223,0.4163197335553705,99.33388842631142,right_shelter,Feces,600.5,1201,760,3,5,
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c02,0.0,2.5,598.0,0.0,0.4163197335553705,99.58368026644463,right_shelter,Feces,600.5,1201,354,0,5,
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c04,0.5,0.0,600.0,0.08326394671107411,0.0,99.91673605328893,left_shelter,Iso,600.5,1201,630,1,0,
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c01,0.0,1.0,599.5,0.0,0.16652789342214822,99.83347210657784,right_shelter,Feces,600.5,1201,516,0,2,
Basler_G05_acA2040-90um (24827095)_20250826_154726773DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-26,5,Iso/Feces,Iso,Feces,individual_c03,0.5,2.0,598.0,0.08326394671107411,0.33305578684429643,99.58368026644463,right_shelter,Feces,600.5,1201,349,1,4,
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c00,3.5,2.5,594.5,0.5828476269775187,0.4163197335553705,99.0008326394671,left_shelter,Nothing,600.5,1201,812,7,5,
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c02,0.0,0.0,600.5,0.0,0.0,100.0,open_area,open_area,600.5,1201,492,0,0,
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c04,0.0,5.5,595.0,0.0,0.9159034138218152,99.08409658617818,right_shelter,Feces,600.5,1201,601,0,11,
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c01,1.0,1.0,598.5,0.16652789342214822,0.16652789342214822,99.6669442131557,open_area,open_area,600.5,1201,797,2,2,
