video,date,batch,experiment_type,left_shelter_odor,right_shelter_odor,animal_id,time_left_shelter,time_right_shelter,time_open_area,percent_left,percent_right,percent_open,preferred_zone,preferred_odor,total_video_time,total_valid_time,total_frames,valid_frames,tracking_efficiency,avg_likelihood,frames_left_shelter,frames_right_shelter,error
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c01,1.5,0.5,267.0,0.5576208178438662,0.18587360594795538,99.25650557620817,left_shelter,Iso,600.5,269.0,1199,538,44.87072560467056,0.9713139303554833,3,1,
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c02,0.0,3.0,196.0,0.0,1.507537688442211,98.49246231155779,right_shelter,Nothing,600.5,199.0,1199,398,33.19432860717264,0.9697142941268844,0,6,
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c04,0.0,0.0,163.5,0.0,0.0,100.0,open_area,open_area,600.5,163.5,1199,327,27.27272727272727,0.978508158925841,0,0,
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c00,0.0,1.0,225.5,0.0,0.44150110375275936,99.55849889624724,right_shelter,Nothing,600.5,226.5,1199,453,37.7814845704754,0.9695260761589404,0,2,
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c03,3.5,0.0,147.5,2.3178807947019866,0.0,97.68211920529801,left_shelter,Iso,600.5,151.0,1199,302,25.18765638031693,0.9704266478683775,7,0,
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c01,1.5,0.0,349.0,0.42796005706134094,0.0,99.57203994293866,left_shelter,Feces,600.5,350.5,1201,701,58.368026644462944,0.9676195000445792,3,0,
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c02,0.0,0.0,63.0,0.0,0.0,100.0,open_area,open_area,600.5,63.0,1201,126,10.491257285595337,0.9723578559027778,0,0,
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c04,0.0,0.0,279.5,0.0,0.0,100.0,open_area,open_area,600.5,279.5,1201,559,46.54454621149042,0.9658447702370304,0,0,
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c00,1.5,1.0,379.0,0.39318479685452157,0.2621231979030144,99.34469200524246,left_shelter,Feces,600.5,381.5,1201,763,63.53039134054954,0.9618878245822412,3,2,
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c03,0.5,0.0,87.0,0.5714285714285714,0.0,99.42857142857143,left_shelter,Feces,600.5,87.5,1201,175,14.571190674437966,0.9658370535714286,1,0,
