date,group,cockroach_id,video,experiment_type,left_stimulus,right_stimulus,error,time_right_s,percent_right_s,time_top_ns,percent_top_ns,time_bottom_ns,percent_bottom_ns,time_left_s,percent_left_s,preferred_quadrant,preferred_stimulus_or_quadrant,total_frames,tracked_frames,tracking_point
20250820,Group1,c00,Basler_c00_acA2040-90um (24827095)_20250820_120514304DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,,169.5,28.226477935054124,128.5,21.398834304746046,151.5,25.228975853455456,332.0,55.28726061615321,left_s,Nothing,1201,1201,body_end
20250820,Group1,c01,Basler_c01_acA2040-90um (24827095)_20250820_154029285DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,,227.5,37.885095753538714,138.5,23.064113238967526,138.5,23.064113238967526,190.0,31.64029975020816,right_s,Iso,1201,1201,body_end
20250820,Group1,c02,Basler_c02_acA2040-90um (24827095)_20250820_151308988DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Iso,Nothing,,179.0,29.80849292256453,291.5,48.5428809325562,96.5,16.069941715237302,123.5,20.566194837635305,top_ns,top_ns,1201,1201,body_end
20250820,Group1,c03,Basler_c03_acA2040-90um (24827095)_20250820_123101811DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,,457.0,76.10324729392173,77.0,12.822647793505412,417.5,69.52539550374688,90.5,15.070774354704414,right_s,Nothing,1201,1201,body_end
20250820,Group1,c04,Basler_c04_acA2040-90um (24827095)_20250820_143759091DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,,162.0,26.977518734388013,105.5,17.568692756036636,114.5,19.06744379683597,334.5,55.70358034970858,left_s,Nothing,1201,1201,body_end
20250821,Group2,c00,Basler_c00_acA2040-90um (24827095)_20250821_121309125DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,,169.5,28.226477935054124,128.5,21.398834304746046,151.5,25.228975853455456,332.0,55.28726061615321,left_s,Nothing,1201,1201,body_end
20250821,Group2,c01,Basler_c01_acA2040-90um (24827095)_20250821_124540628DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,,227.5,37.885095753538714,138.5,23.064113238967526,138.5,23.064113238967526,190.0,31.64029975020816,right_s,Nothing,1201,1201,body_end
20250821,Group2,c02,Basler_c02_acA2040-90um (24827095)_20250821_144027805DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,,179.0,29.80849292256453,291.5,48.5428809325562,96.5,16.069941715237302,123.5,20.566194837635305,top_ns,top_ns,1201,1201,body_end
20250821,Group2,c03,Basler_c03_acA2040-90um (24827095)_20250821_132311364DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,,457.0,76.10324729392173,77.0,12.822647793505412,417.5,69.52539550374688,90.5,15.070774354704414,right_s,Iso,1201,1201,body_end
20250821,Group2,c04,Basler_c04_acA2040-90um (24827095)_20250821_145931948DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,,162.0,26.977518734388013,105.5,17.568692756036636,114.5,19.06744379683597,334.5,55.70358034970858,left_s,Nothing,1201,1201,body_end
