date,group,cockroach_id,video,experiment_type,left_stimulus,right_stimulus,time_left_shelter,time_right_shelter,time_open_area,percent_left,percent_right,percent_open,preferred_zone,preferred_stimulus,total_valid_time,valid_frames,total_frames,tracking_point,error
20250820,Group1,c00,Basler_c00_acA2040-90um (24827095)_20250820_120514304DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,3.0,0.0,554.5,0.5381165919282511,0.0,99.46188340807176,left_shelter,Nothing,557.5,1115,1201,body_end,
20250820,Group1,c01,Basler_c01_acA2040-90um (24827095)_20250820_154029285DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,1.5,0.0,498.0,0.3003003003003003,0.0,99.69969969969969,left_shelter,Nothing,499.5,999,1201,body_end,
20250820,Group1,c02,Basler_c02_acA2040-90um (24827095)_20250820_151308988DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Iso,Nothing,1.0,4.5,552.5,0.17921146953405018,0.8064516129032258,99.01433691756273,right_shelter,Nothing,558.0,1116,1201,body_end,
20250820,Group1,c03,Basler_c03_acA2040-90um (24827095)_20250820_123101811DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,0.0,0.0,515.0,0.0,0.0,100.0,open_area,open_area,515.0,1030,1201,body_end,
20250820,Group1,c04,Basler_c04_acA2040-90um (24827095)_20250820_143759091DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,0.0,1.5,528.0,0.0,0.28328611898017,99.71671388101983,right_shelter,Iso,529.5,1059,1201,body_end,
20250821,Group2,c00,Basler_c00_acA2040-90um (24827095)_20250821_121309125DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,1.0,2.0,490.0,0.2028397565922921,0.4056795131845842,99.39148073022312,right_shelter,Iso,493.0,986,1201,body_end,
20250821,Group2,c01,Basler_c01_acA2040-90um (24827095)_20250821_124540628DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,0.5,1.0,544.0,0.09165902841429881,0.18331805682859761,99.7250229147571,right_shelter,Nothing,545.5,1091,1201,body_end,
20250821,Group2,c02,Basler_c02_acA2040-90um (24827095)_20250821_144027805DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,0.0,1.0,554.0,0.0,0.18018018018018017,99.81981981981983,right_shelter,Nothing,555.0,1110,1201,body_end,
20250821,Group2,c03,Basler_c03_acA2040-90um (24827095)_20250821_132311364DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,0.5,0.5,495.5,0.10070493454179255,0.10070493454179255,99.79859013091642,open_area,open_area,496.5,993,1201,body_end,
20250821,Group2,c04,Basler_c04_acA2040-90um (24827095)_20250821_145931948DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,0.5,0.0,426.5,0.117096018735363,0.0,99.88290398126463,left_shelter,Nothing,427.0,854,1201,body_end,
